Câmpus;Curso;Cotas;Forma de ingresso;Numero de pessoas;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Ingresso pós-graduação: preto, pardo ou indígena;1;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Processo Seletivo Simplificado;2;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;163;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública (L3);25;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Deficiência (L6);3;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Etnia (L4);13;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Etnia/Deficiência (L8);1;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda (L1);28;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Deficiência (L5);3;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Etnia (L2);18;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Etnia/Deficiência (L7);5;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Professor em exercício na Rede Pública;52;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Reingresso;8;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;N;Seleção Geral Graduação (SiSU);32;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L1 (SGC L1) - Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);28;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L13 (SGC L6) - Candidatos com deficiência que, independente da renda(art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);3;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L2 (SGC L2) - Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capitaigualou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);19;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L5 (SGC L3) - Candidatos que, independente de renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;27;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L6 (SGC L4) - Candidatos autodeclarados pretos, pardos ou indígenas que, independente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº12.711/2012);15;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;S;SiSU L9 (SGC L5) - Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);1;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Transferência Compulsória;1;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Transferência de Curso (Interno - mesmo campus);28;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Transferência Facultativa;18;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Primeiro Semestre;O;Transferência Intercampi;8;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Ampla Concorrência (Geral);210;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Ampla Concorrência (Vestibular);2;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Ampla Concorrência SISU;62;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Edital de Seleção - Aluno especial / Não regular;0;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública;68;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + PCD;2;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + PPI;39;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + PPI + PCD;4;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + Renda;65;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + Renda + PCD;9;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + Renda + PPI;44;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Escola Pública + Renda + PPI + PCD;3;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Ingresso de portador de diploma de graduação;15;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Ingresso pós-graduação: ampla concorrência;31;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Ingresso pós-graduação: preto, pardo ou indígena;1;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Processo Seletivo Simplificado;1;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;123;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública (L3);7;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Deficiência (L6);2;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Etnia (L4);8;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Etnia/Deficiência (L8);1;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda (L1);13;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Deficiência (L5);2;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Etnia (L2);12;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Etnia/Deficiência (L7);4;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Professor em exercício na Rede Pública;24;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Reingresso;5;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;N;Seleção Geral Graduação (SiSU);11;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;SiSU L1 (SGC L1) - Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);19;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;SiSU L13 (SGC L6) - Candidatos com deficiência que, independente da renda(art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);2;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;SiSU L2 (SGC L2) - Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capitaigualou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);17;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;SiSU L5 (SGC L3) - Candidatos que, independente de renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;23;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;SiSU L6 (SGC L4) - Candidatos autodeclarados pretos, pardos ou indígenas que, independente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº12.711/2012);13;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;S;SiSU L9 (SGC L5) - Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);1;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Transferência Compulsória;0;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Transferência de Curso (Interno - mesmo campus);17;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Transferência Facultativa;22;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Primeiro Semestre;O;Transferência Intercampi;8;
Boituva;Cursos Anuais - 2023;N;Ampla Concorrência (Geral);116;
Boituva;Cursos Anuais - 2023;S;Escola Pública;29;
Boituva;Cursos Anuais - 2023;S;Escola Pública + PCD;3;
Boituva;Cursos Anuais - 2023;S;Escola Pública + PPI;22;
Boituva;Cursos Anuais - 2023;S;Escola Pública + PPI + PCD;2;
Boituva;Cursos Anuais - 2023;S;Escola Pública + Renda;27;
Boituva;Cursos Anuais - 2023;S;Escola Pública + Renda + PCD;8;
Boituva;Cursos Anuais - 2023;S;Escola Pública + Renda + PPI;18;
Boituva;Cursos Anuais - 2023;S;Escola Pública + Renda + PPI + PCD;2;
Boituva;Cursos Anuais - 2023;N;Processo Seletivo Simplificado - Ampla Concorrência;1;
Boituva;Cursos Anuais - 2023;O;Transferência Facultativa;1;
Boituva;Cursos Anuais - 2023;O;Transferência Intercampi;3;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;N;Ampla Concorrência (Geral);239;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;N;Ampla Concorrência (Vestibular);5;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;S;Escola Pública;20;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;S;Escola Pública + PCD;3;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;S;Escola Pública + PPI;17;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;S;Escola Pública + PPI + PCD;1;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;S;Escola Pública + Renda;26;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;S;Escola Pública + Renda + PCD;2;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;S;Escola Pública + Renda + PPI;11;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;S;Escola Pública + Renda + PPI + PCD;0;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;57;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;O;Transferência Compulsória;1;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;O;Transferência de Curso (Interno - mesmo campus);1;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;O;Transferência Facultativa;1;
Boituva;Cursos Semestrais 2022 - Segundo Semestre;O;Transferência Intercampi;2;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;N;Ampla Concorrência (Geral);194;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;N;Ampla Concorrência (Vestibular);0;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;S;Escola Pública;15;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;S;Escola Pública + PCD;0;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;S;Escola Pública + PPI;8;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;S;Escola Pública + PPI + PCD;0;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;S;Escola Pública + Renda;20;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;S;Escola Pública + Renda + PCD;1;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;S;Escola Pública + Renda + PPI;10;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;S;Escola Pública + Renda + PPI + PCD;0;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;S;Processo Seletivo Simplificado - Ampla Concorrência;74;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;O;Reingresso;2;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;O;Transferência de Curso (Interno - mesmo campus);0;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;O;Transferência Facultativa;0;
Boituva;Cursos Semestrais 2023 - Segundo Semestre;O;Transferência Intercampi;2;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Ampla Concorrência (Geral);262;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Ampla Concorrência (Vestibular);1;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Ampla Concorrência SISU;50;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Edital de Seleção - Aluno especial / Não regular;0;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública;85;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública + PCD;4;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública + PPI;50;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública + PPI + PCD;4;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública + Renda;78;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública + Renda + PCD;10;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública + Renda + PPI;52;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Escola Pública + Renda + PPI + PCD;3;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Ingresso de portador de diploma de graduação;12;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Ingresso pós-graduação: ampla concorrência;27;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Ingresso pós-graduação: preto, pardo ou indígena;1;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Processo Seletivo Simplificado;2;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;143;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública (L3);24;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Deficiência (L6);3;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Etnia (L4);12;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Etnia/Deficiência (L8);1;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda (L1);26;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Deficiência (L5);3;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Etnia (L2);18;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Etnia/Deficiência (L7);5;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Professor em exercício na Rede Pública;30;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Reingresso;5;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;N;Seleção Geral Graduação (SiSU);21;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;SiSU L1 (SGC L1) - Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);24;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;SiSU L13 (SGC L6) - Candidatos com deficiência que, independente da renda(art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);3;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;SiSU L2 (SGC L2) - Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capitaigualou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);17;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;SiSU L5 (SGC L3) - Candidatos que, independente de renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).;22;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;SiSU L6 (SGC L4) - Candidatos autodeclarados pretos, pardos ou indígenas que, independente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº12.711/2012);12;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;S;SiSU L9 (SGC L5) - Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012);1;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Transferência Compulsória;0;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Transferência de Curso (Interno - mesmo campus);19;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Transferência Facultativa;18;
Boituva;Ed. Superior - Cursos Semestrais - 2022 - Segundo Semestre;O;Transferência Intercampi;8;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Ampla Concorrência (Geral);205;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Ampla Concorrência (Vestibular);1;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Ampla Concorrência SISU;48;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Edital de Seleção - Aluno especial / Não regular;0;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Escola Pública;62;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Escola Pública + PCD;2;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Escola Pública + PPI;36;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Escola Pública + PPI + PCD;4;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Escola Pública + Renda;56;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Escola Pública + Renda + PCD;9;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Escola Pública + Renda + PPI;40;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Escola Pública + Renda + PPI + PCD;3;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Ingresso de portador de diploma de graduação;20;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Ingresso pós-graduação: ampla concorrência;23;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Ingresso pós-graduação: preto, pardo ou indígena;1;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Processo Seletivo Simplificado;0;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Processo Seletivo Simplificado - Ampla Concorrência;113;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública (L3);7;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Deficiência (L6);2;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Etnia (L4);3;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Etnia/Deficiência (L8);1;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda (L1);9;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Deficiência (L5);2;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Etnia (L2);11;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;S;Processo Seletivo Simplificado - Escola Pública/Renda/Etnia/Deficiência (L7);3;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Professor em exercício na Rede Pública;20;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;O;Reingresso;11;
Boituva;Ed. Superior - Cursos Semestrais - 2023 - Segundo Semestre;N;Seleção Geral Graduação (SiSU);9;
